Ubigeo,Departamento,Provincia,Distrito,Poblacion,Superficie,hogares_saneamiento_pct,poblacion_pobreza_PCT,viviendas_con_servicio_de_luz,,,
30211,Apurimac,POMACOCHA,1048,"129,19",89.39,"29,50","29,10",,,,
30212,Apurimac,SAN ANTONIO DE CACHI,3183,"178,78",80.61,"38,30","73,80",,,,
30213,Apurimac,SAN JERONIMO,29017,"237,42",94.32,"20,20","50,90",,,,
30214,Apurimac,SAN MIGUEL DE CHACCRAMPA,2080,"83,37",65.28,"42,20","27,00",,,,
30215,Apurimac,SANTA MARIA DE CHICMO,9864,"162,14",79.53,"18,20","40,70",,,,
30216,Apurimac,TALAVERA,18478,"148,12",92.07,"21,90","41,80",,,,
30217,Apurimac,TUMAY HUARACA,2448,"446,71",91.12,"55,00","65,40",,,,
30218,Apurimac,TURPO,4152,"121,67",92.03,"22,30","42,00",,,,
30306,Apurimac,Antabamba,PACHACONAS,1291,"226,73",93.46,"32,20",,,,
30307,Apurimac,Antabamba,SABAINO,1657,"178,77",73.62,"34,60",,,,
30402,Apurimac,Aymaraes,CAPAYA,1013,"77,75",83.79,"33,10",,,,
30403,Apurimac,Aymaraes,CARAYBAMBA,1497,"234,91",80.35,"36,90",,,,
30602,Apurimac,Chincheros,ANCO_HUALLO,12627,"38,9",70.79,"29,80",,,,
30601,Apurimac,Chincheros,CHINCHEROS,6998,"132,4",67.26,"35,50",,,,
30504,Apurimac,Cotabambas,HAQUIRA,11908,"475,46",61.17,"28,70",,,,
30505,Apurimac,Cotabambas,MARA,6718,"224,17",74.09,"39,20",,,,
30501,Apurimac,Cotabambas,TAMBOBAMBA,11793,"722,23",65.18,"46,40",,,,
30712,Apurimac,Grau,VILCABAMBA,1402,"7,97",84.66,"15,80",,,,
30713,Apurimac,Grau,VIRUNDO,1305,"117,19",75.79,"29,90",,,,
40102,Arequipa,Arequipa,ALTO SELVA ALEGRE,85223,"6,98",62.75,"10,80",,,,
40101,Arequipa,Arequipa,AREQUIPA,52425,"2,8",95.73,"3,50",,,,
40128,Arequipa,Arequipa,YURA,28556,"1942,9",62.19,"17,90",,,,
